Categoría: Todas las categorías

Mes,oil: (Colombia)
2004-01,84
2004-02,56
2004-03,48
2004-04,81
2004-05,42
2004-06,13
2004-07,55
2004-08,49
2004-09,72
2004-10,68
2004-11,64
2004-12,100
2005-01,86
2005-02,26
2005-03,31
2005-04,23
2005-05,28
2005-06,40
2005-07,25
2005-08,77
2005-09,6
2005-10,41
2005-11,25
2005-12,25
2006-01,69
2006-02,16
2006-03,33
2006-04,23
2006-05,42
2006-06,41
2006-07,34
2006-08,19
2006-09,34
2006-10,30
2006-11,24
2006-12,31
2007-01,25
2007-02,30
2007-03,25
2007-04,13
2007-05,40
2007-06,50
2007-07,29
2007-08,34
2007-09,35
2007-10,13
2007-11,20
2007-12,26
2008-01,30
2008-02,38
2008-03,26
2008-04,32
2008-05,21
2008-06,35
2008-07,39
2008-08,19
2008-09,25
2008-10,22
2008-11,21
2008-12,28
2009-01,31
2009-02,12
2009-03,21
2009-04,26
2009-05,26
2009-06,35
2009-07,22
2009-08,13
2009-09,32
2009-10,18
2009-11,18
2009-12,15
2010-01,30
2010-02,19
2010-03,36
2010-04,27
2010-05,38
2010-06,36
2010-07,20
2010-08,31
2010-09,33
2010-10,33
2010-11,32
2010-12,20
2011-01,19
2011-02,26
2011-03,20
2011-04,20
2011-05,15
2011-06,17
2011-07,11
2011-08,23
2011-09,21
2011-10,19
2011-11,17
2011-12,23
2012-01,19
2012-02,19
2012-03,21
2012-04,27
2012-05,20
2012-06,23
2012-07,22
2012-08,23
2012-09,22
2012-10,24
2012-11,22
2012-12,24
2013-01,29
2013-02,21
2013-03,22
2013-04,25
2013-05,25
2013-06,30
2013-07,21
2013-08,22
2013-09,24
2013-10,20
2013-11,20
2013-12,22
2014-01,27
2014-02,25
2014-03,27
2014-04,24
2014-05,28
2014-06,26
2014-07,28
2014-08,24
2014-09,29
2014-10,31
2014-11,27
2014-12,37
2015-01,27
2015-02,29
2015-03,29
2015-04,32
2015-05,29
2015-06,30
2015-07,31
2015-08,30
2015-09,26
2015-10,27
2015-11,25
2015-12,27
2016-01,31
2016-02,32
2016-03,33
2016-04,31
2016-05,33
2016-06,32
2016-07,32
2016-08,25
2016-09,28
2016-10,27
2016-11,27
2016-12,28
2017-01,29
2017-02,29
2017-03,27
2017-04,28
2017-05,29
2017-06,26
2017-07,26
2017-08,25
2017-09,27
2017-10,26
2017-11,29
2017-12,24
2018-01,30
2018-02,33
2018-03,28
2018-04,32
2018-05,29
2018-06,26
2018-07,27
2018-08,28
2018-09,29
2018-10,31
2018-11,40
2018-12,43
2019-01,33
2019-02,34
2019-03,31
2019-04,36
2019-05,34
2019-06,35
2019-07,38
2019-08,34
2019-09,34
2019-10,34
2019-11,39
2019-12,45
2020-01,38
2020-02,41
2020-03,41
2020-04,40
2020-05,31
2020-06,30
2020-07,35
2020-08,34
2020-09,31
2020-10,28
2020-11,30
2020-12,30
2021-01,32
2021-02,28
2021-03,29
2021-04,28
2021-05,29
2021-06,28
2021-07,48
