Category: All categories

Month,Cupcake: (Worldwide)
2004-01,5
2004-02,7
2004-03,7
2004-04,5
2004-05,6
2004-06,5
2004-07,6
2004-08,6
2004-09,7
2004-10,9
2004-11,6
2004-12,7
2005-01,7
2005-02,9
2005-03,9
2005-04,8
2005-05,7
2005-06,7
2005-07,8
2005-08,6
2005-09,9
2005-10,12
2005-11,9
2005-12,8
2006-01,9
2006-02,11
2006-03,10
2006-04,12
2006-05,11
2006-06,11
2006-07,11
2006-08,12
2006-09,14
2006-10,16
2006-11,12
2006-12,13
2007-01,11
2007-02,16
2007-03,16
2007-04,17
2007-05,18
2007-06,17
2007-07,19
2007-08,19
2007-09,19
2007-10,23
2007-11,18
2007-12,19
2008-01,18
2008-02,25
2008-03,24
2008-04,24
2008-05,26
2008-06,24
2008-07,25
2008-08,26
2008-09,26
2008-10,32
2008-11,29
2008-12,26
2009-01,30
2009-02,37
2009-03,36
2009-04,35
2009-05,36
2009-06,36
2009-07,37
2009-08,38
2009-09,37
2009-10,45
2009-11,39
2009-12,37
2010-01,38
2010-02,46
2010-03,47
2010-04,46
2010-05,50
2010-06,50
2010-07,56
2010-08,64
2010-09,60
2010-10,65
2010-11,58
2010-12,56
2011-01,58
2011-02,72
2011-03,71
2011-04,76
2011-05,69
2011-06,69
2011-07,69
2011-08,80
2011-09,76
2011-10,86
2011-11,81
2011-12,81
2012-01,82
2012-02,97
2012-03,94
2012-04,91
2012-05,92
2012-06,92
2012-07,87
2012-08,90
2012-09,92
2012-10,99
2012-11,85
2012-12,86
2013-01,86
2013-02,96
2013-03,100
2013-04,88
2013-05,88
2013-06,86
2013-07,86
2013-08,86
2013-09,86
2013-10,97
2013-11,89
2013-12,87
2014-01,84
2014-02,100
2014-03,93
2014-04,90
2014-05,85
2014-06,79
2014-07,84
2014-08,81
2014-09,84
2014-10,93
2014-11,83
2014-12,80
2015-01,73
2015-02,87
2015-03,80
2015-04,77
2015-05,76
2015-06,75
2015-07,73
2015-08,71
2015-09,71
2015-10,81
2015-11,72
2015-12,71
2016-01,65
2016-02,79
2016-03,75
2016-04,68
2016-05,68
2016-06,64
2016-07,62
2016-08,61
2016-09,62
2016-10,70
2016-11,60
2016-12,58
2017-01,59
2017-02,72
2017-03,60
2017-04,61
2017-05,59
2017-06,54
2017-07,52
2017-08,52
2017-09,55
2017-10,60
2017-11,56
2017-12,52
2018-01,51
2018-02,59
2018-03,60
2018-04,52
2018-05,52
2018-06,50
2018-07,46
2018-08,49
2018-09,48
2018-10,53
2018-11,50
2018-12,48
2019-01,55
2019-02,56
2019-03,51
2019-04,49
2019-05,48
2019-06,44
2019-07,42
2019-08,45
2019-09,45
2019-10,53
2019-11,47
2019-12,45
2020-01,43
2020-02,52
2020-03,45
2020-04,56
2020-05,60
2020-06,54
2020-07,49
2020-08,47
2020-09,46
2020-10,49
2020-11,43
2020-12,44
2021-01,43
2021-02,53
2021-03,47
2021-04,44
2021-05,45
2021-06,40
2021-07,43
